Date,Swedish Krona
2021-09-14,10.1453
2021-09-13,10.1853
2021-09-10,10.1843
2021-09-09,10.1863
2021-09-08,10.1740
2021-09-07,10.1515
2021-09-06,10.1658
2021-09-03,10.1708
2021-09-02,10.1939
2021-09-01,10.1961
2021-08-31,10.1625
2021-08-30,10.1813
2021-08-27,10.2345
2021-08-26,10.2413
2021-08-25,10.2248
2021-08-24,10.2090
2021-08-23,10.2573
2021-08-20,10.3263
2021-08-19,10.2798
2021-08-18,10.2233
2021-08-17,10.1948
2021-08-16,10.2008
2021-08-13,10.1993
2021-08-12,10.1883
2021-08-11,10.2305
2021-08-10,10.2145
2021-08-09,10.2175
2021-08-06,10.1683
2021-08-05,10.1983
2021-08-04,10.1970
2021-08-03,10.2045
2021-08-02,10.1910
2021-07-30,10.1868
2021-07-29,10.1675
2021-07-28,10.1963
2021-07-27,10.1650
2021-07-26,10.2050
2021-07-23,10.2105
2021-07-22,10.2245
2021-07-21,10.2448
2021-07-20,10.2535
2021-07-19,10.2533
2021-07-16,10.2428
2021-07-15,10.2335
2021-07-14,10.2050
2021-07-13,10.1818
2021-07-12,10.2008
2021-07-09,10.1853
2021-07-08,10.1908
2021-07-07,10.1813
2021-07-06,10.1490
2021-07-05,10.1435
2021-07-02,10.1583
2021-07-01,10.1738
2021-06-30,10.1110
2021-06-29,10.1510
2021-06-28,10.1268
2021-06-25,10.1103
2021-06-24,10.1133
2021-06-23,10.1288
2021-06-22,10.1570
2021-06-21,10.2163
2021-06-18,10.2330
2021-06-17,10.1905
2021-06-16,10.1283
2021-06-15,10.0858
2021-06-14,10.0944
2021-06-11,10.0643
2021-06-10,10.0715
2021-06-09,10.0595
2021-06-08,10.0755
2021-06-07,10.0552
2021-06-04,10.1050
2021-06-03,10.1145
2021-06-02,10.0898
2021-06-01,10.0955
2021-05-31,10.1210
2021-05-28,10.1250
2021-05-27,10.1298
2021-05-26,10.1503
2021-05-25,10.1338
2021-05-24,10.1670
2021-05-21,10.1220
2021-05-20,10.1813
2021-05-19,10.1633
2021-05-18,10.1363
2021-05-17,10.1552
2021-05-14,10.1265
2021-05-13,10.1720
2021-05-12,10.1060
2021-05-11,10.1130
2021-05-10,10.1235
2021-05-07,10.1263
2021-05-06,10.1940
2021-05-05,10.1945
2021-05-04,10.1673
2021-05-03,10.1803
2021-04-30,10.1640
2021-04-29,10.1123
2021-04-28,10.1110
2021-04-27,10.1403
2021-04-26,10.1308
2021-04-23,10.1405
2021-04-22,10.1237
2021-04-21,10.1513
2021-04-20,10.1288
2021-04-19,10.0985
2021-04-16,10.1055
2021-04-15,10.1298
2021-04-14,10.1433
2021-04-13,10.2110
2021-04-12,10.1975
2021-04-09,10.1725
2021-04-08,10.2073
2021-04-07,10.2360
2021-04-06,10.2610
2021-04-01,10.2753
2021-03-31,10.2383
2021-03-30,10.2473
2021-03-29,10.2205
2021-03-26,10.1905
2021-03-25,10.1935
2021-03-24,10.1635
2021-03-23,10.1813
2021-03-22,10.1580
2021-03-19,10.1743
2021-03-18,10.1570
2021-03-17,10.1355
2021-03-16,10.1388
2021-03-15,10.1850
2021-03-12,10.1388
2021-03-11,10.1295
2021-03-10,10.1305
2021-03-09,10.1360
2021-03-08,10.1803
2021-03-05,10.1863
2021-03-04,10.1595
2021-03-03,10.1250
2021-03-02,10.1400
2021-03-01,10.1833
2021-02-26,10.1388
2021-02-25,10.0668
2021-02-24,10.0893
2021-02-23,10.0747
2021-02-22,10.0315
2021-02-19,10.0330
2021-02-18,10.0328
2021-02-17,10.0413
2021-02-16,10.0415
2021-02-15,10.0435
2021-02-12,10.0818
2021-02-11,10.0868
2021-02-10,10.0800
2021-02-09,10.1058
2021-02-08,10.1148
2021-02-05,10.1228
2021-02-04,10.1358
2021-02-03,10.1303
2021-02-02,10.1593
2021-02-01,10.1627
2021-01-29,10.1110
2021-01-28,10.1353
2021-01-27,10.1139
2021-01-26,10.0715
2021-01-25,10.0625
2021-01-22,10.0815
2021-01-21,10.0825
2021-01-20,10.1383
2021-01-19,10.0953
2021-01-18,10.1540
2021-01-15,10.1305
2021-01-14,10.1059
2021-01-13,10.1383
2021-01-12,10.0878
2021-01-11,10.0760
2021-01-08,10.0510
2021-01-07,10.0575
2021-01-06,10.0653
2021-01-05,10.0570
2021-01-04,10.0895
2020-12-31,10.0343
2020-12-30,10.0568
2020-12-29,10.0840
2020-12-28,10.1070
2020-12-24,10.0763
2020-12-23,10.1213
2020-12-22,10.1143
2020-12-21,10.1313
2020-12-18,10.1333
2020-12-17,10.1335
2020-12-16,10.1785
2020-12-15,10.1928
2020-12-14,10.1930
2020-12-11,10.2560
2020-12-10,10.2395
2020-12-09,10.2745
2020-12-08,10.2358
2020-12-07,10.2018
2020-12-04,10.2578
2020-12-03,10.3025
2020-12-02,10.2813
2020-12-01,10.2135
2020-11-30,10.1778
2020-11-27,10.1723
2020-11-26,10.1568
2020-11-25,10.1358
2020-11-24,10.2040
2020-11-23,10.2145
2020-11-20,10.2168
2020-11-19,10.2060
2020-11-18,10.2135
2020-11-17,10.2375
2020-11-16,10.2538
2020-11-13,10.2537
2020-11-12,10.1825
2020-11-11,10.1748
2020-11-10,10.2000
2020-11-09,10.1970
2020-11-06,10.2805
2020-11-05,10.2770
2020-11-04,10.3520
2020-11-03,10.3835
2020-11-02,10.3625
2020-10-30,10.3650
2020-10-29,10.4225
2020-10-28,10.3710
2020-10-27,10.3060
2020-10-26,10.3475
2020-10-23,10.3618
2020-10-22,10.3740
2020-10-21,10.3645
2020-10-20,10.3805
2020-10-19,10.3578
2020-10-16,10.3593
2020-10-15,10.3780
2020-10-14,10.3653
2020-10-13,10.3430
2020-10-12,10.3933
2020-10-09,10.4200
2020-10-08,10.4468
2020-10-07,10.4830
2020-10-06,10.5138
2020-10-05,10.4645
2020-10-02,10.4250
2020-10-01,10.4853
2020-09-30,10.5713
2020-09-29,10.5343
2020-09-28,10.5863
2020-09-25,10.6285
2020-09-24,10.5793
2020-09-23,10.4388
2020-09-22,10.4070
2020-09-21,10.4055
2020-09-18,10.3990
2020-09-17,10.4080
2020-09-16,10.4118
2020-09-15,10.4040
2020-09-14,10.4178
2020-09-11,10.3713
2020-09-10,10.3703
2020-09-09,10.3620
2020-09-08,10.3735
2020-09-07,10.3690
2020-09-04,10.3688
2020-09-03,10.3393
2020-09-02,10.3065
2020-09-01,10.3605
2020-08-31,10.2888
2020-08-28,10.2603
2020-08-27,10.3138
2020-08-26,10.3348
2020-08-25,10.3525
2020-08-24,10.3690
2020-08-21,10.3630
2020-08-20,10.3555
2020-08-19,10.3140
2020-08-18,10.3200
2020-08-17,10.3108
2020-08-14,10.2933
2020-08-13,10.2748
2020-08-12,10.2513
2020-08-11,10.2835
2020-08-10,10.2805
2020-08-07,10.3163
2020-08-06,10.3165
2020-08-05,10.2865
2020-08-04,10.3025
2020-08-03,10.2958
2020-07-31,10.2835
2020-07-30,10.3068
2020-07-29,10.2870
2020-07-28,10.2820
2020-07-27,10.2678
2020-07-24,10.2690
2020-07-23,10.2640
2020-07-22,10.2415
2020-07-21,10.2390
2020-07-20,10.3010
2020-07-17,10.3330
2020-07-16,10.3500
2020-07-15,10.3468
2020-07-14,10.3855
2020-07-13,10.3833
2020-07-10,10.3980
2020-07-09,10.3970
2020-07-08,10.4310
2020-07-07,10.4555
2020-07-06,10.4848
2020-07-03,10.4715
2020-07-02,10.4635
2020-07-01,10.4965
2020-06-30,10.4948
2020-06-29,10.4780
2020-06-26,10.4773
2020-06-25,10.4865
2020-06-24,10.5145
2020-06-23,10.5175
2020-06-22,10.5525
2020-06-19,10.5670
2020-06-18,10.5525
2020-06-17,10.5123
2020-06-16,10.5136
2020-06-15,10.5393
2020-06-12,10.5103
2020-06-11,10.5018
2020-06-10,10.4605
2020-06-09,10.4188
2020-06-08,10.3978
2020-06-05,10.4250
2020-06-04,10.4172
2020-06-03,10.4588
2020-06-02,10.4520
2020-06-01,10.4635
2020-05-29,10.4870
2020-05-28,10.5480
2020-05-27,10.5608
2020-05-26,10.5563
2020-05-25,10.5490
2020-05-22,10.5373
2020-05-21,10.5300
2020-05-20,10.5568
2020-05-19,10.5685
2020-05-18,10.6103
2020-05-15,10.6695
2020-05-14,10.6418
2020-05-13,10.5843
2020-05-12,10.5968
2020-05-11,10.5998
2020-05-08,10.5875
2020-05-07,10.6200
2020-05-06,10.6278
2020-05-05,10.6980
2020-05-04,10.8113
2020-04-30,10.6639
2020-04-29,10.7338
2020-04-28,10.7480
2020-04-27,10.8748
2020-04-24,10.8723
2020-04-23,10.8883
2020-04-22,10.9423
2020-04-21,10.9543
2020-04-20,10.8623
2020-04-17,10.8548
2020-04-16,10.8895
2020-04-15,10.9323
2020-04-14,10.9158
2020-04-09,10.9455
2020-04-08,10.9385
2020-04-07,10.8788
2020-04-06,10.9788
2020-04-03,10.9520
2020-04-02,10.9265
2020-04-01,10.9368
2020-03-31,11.0613
2020-03-30,11.0375
2020-03-27,11.0158
2020-03-26,11.0070
2020-03-25,10.9638
2020-03-24,11.0888
2020-03-23,11.0715
2020-03-20,11.0598
2020-03-19,11.1523
2020-03-18,11.0223
2020-03-17,10.9593
2020-03-16,10.8998
2020-03-13,10.8453
2020-03-12,10.8945
2020-03-11,10.7238
2020-03-10,10.8015
2020-03-09,10.7203
2020-03-06,10.6145
2020-03-05,10.5915
2020-03-04,10.5555
2020-03-03,10.5590
2020-03-02,10.6063
2020-02-28,10.6738
2020-02-27,10.5753
2020-02-26,10.5813
2020-02-25,10.5688
2020-02-24,10.5833
2020-02-21,10.5690
2020-02-20,10.5985
2020-02-19,10.5743
2020-02-18,10.5498
2020-02-17,10.5323
2020-02-14,10.5085
2020-02-13,10.4823
2020-02-12,10.4965
2020-02-11,10.5373
2020-02-10,10.5728
2020-02-07,10.5455
2020-02-06,10.5550
2020-02-05,10.5450
2020-02-04,10.6278
2020-02-03,10.6808
2020-01-31,10.6768
2020-01-30,10.6398
2020-01-29,10.5753
2020-01-28,10.5993
2020-01-27,10.5795
2020-01-24,10.5363
2020-01-23,10.5473
2020-01-22,10.5528
2020-01-21,10.5523
2020-01-20,10.5548
2020-01-17,10.5450
2020-01-16,10.5678
2020-01-15,10.5590
2020-01-14,10.5248
2020-01-13,10.5598
2020-01-10,10.5510
2020-01-09,10.5330
2020-01-08,10.5108
2020-01-07,10.5423
2020-01-06,10.5308
2020-01-03,10.4858
2020-01-02,10.4728
2019-12-31,10.4468
2019-12-30,10.4400
2019-12-27,10.4363
2019-12-24,10.4553
2019-12-23,10.4473
2019-12-20,10.4340
2019-12-19,10.4780
2019-12-18,10.4483
2019-12-17,10.4718
2019-12-16,10.4213
2019-12-13,10.4490
2019-12-12,10.4495
2019-12-11,10.4595
2019-12-10,10.5565
2019-12-09,10.5435
2019-12-06,10.5183
2019-12-05,10.5418
2019-12-04,10.5523
2019-12-03,10.5653
2019-12-02,10.5385
2019-11-29,10.4995
2019-11-28,10.5463
2019-11-27,10.5580
2019-11-26,10.5808
2019-11-25,10.6158
2019-11-22,10.6265
2019-11-21,10.6568
2019-11-20,10.6935
2019-11-19,10.6475
2019-11-18,10.6603
2019-11-15,10.6518
2019-11-14,10.6940
2019-11-13,10.7353
2019-11-12,10.7003
2019-11-11,10.7085
2019-11-08,10.7025
2019-11-07,10.6253
2019-11-06,10.6440
2019-11-05,10.6943
2019-11-04,10.7035
2019-11-01,10.6993
2019-10-31,10.7498
2019-10-30,10.8010
2019-10-29,10.7923
2019-10-28,10.7503
2019-10-25,10.7445
2019-10-24,10.6963
2019-10-23,10.7385
2019-10-22,10.7303
2019-10-21,10.7311
2019-10-18,10.7742
2019-10-17,10.8105
2019-10-16,10.8358
2019-10-15,10.8225
2019-10-14,10.8523
2019-10-11,10.8448
2019-10-10,10.8415
2019-10-09,10.9173
2019-10-08,10.8703
2019-10-07,10.8910
2019-10-04,10.8105
2019-10-03,10.8330
2019-10-02,10.8118
2019-10-01,10.8043
2019-09-30,10.6958
2019-09-27,10.7010
2019-09-26,10.6598
2019-09-25,10.6825
2019-09-24,10.6763
2019-09-23,10.7143
2019-09-20,10.7113
2019-09-19,10.7223
2019-09-18,10.7298
2019-09-17,10.6990
2019-09-16,10.6703
2019-09-13,10.6485
2019-09-12,10.6315
2019-09-11,10.6563
2019-09-10,10.7445
2019-09-09,10.6598
2019-09-06,10.6350
2019-09-05,10.6825
2019-09-04,10.7530
2019-09-03,10.8128
2019-09-02,10.7470
2019-08-30,10.8395
2019-08-29,10.7790
2019-08-28,10.7545
2019-08-27,10.7050
2019-08-26,10.7515
2019-08-23,10.7165
2019-08-22,10.7188
2019-08-21,10.6983
2019-08-20,10.7653
2019-08-19,10.7268
2019-08-16,10.7120
2019-08-15,10.7305
2019-08-14,10.7313
2019-08-13,10.7088
2019-08-12,10.7315
2019-08-09,10.6972
2019-08-08,10.7530
2019-08-07,10.7673
2019-08-06,10.7267
2019-08-05,10.7603
2019-08-02,10.7223
2019-08-01,10.6868
2019-07-31,10.6645
2019-07-30,10.6453
2019-07-29,10.5773
2019-07-26,10.5585
2019-07-25,10.4947
2019-07-24,10.5293
2019-07-23,10.5695
2019-07-22,10.5440
2019-07-19,10.5195
2019-07-18,10.5040
2019-07-17,10.5168
2019-07-16,10.5405
2019-07-15,10.5563
2019-07-12,10.5515
2019-07-11,10.5808
2019-07-10,10.6093
2019-07-09,10.6338
2019-07-08,10.5973
2019-07-05,10.5575
2019-07-04,10.5208
2019-07-03,10.5155
2019-07-02,10.5565
2019-07-01,10.5450
2019-06-28,10.5633
2019-06-27,10.5488
2019-06-26,10.5435
2019-06-25,10.5320
2019-06-24,10.6078
2019-06-21,10.6308
2019-06-20,10.6348
2019-06-19,10.6868
2019-06-18,10.6413
2019-06-17,10.6495
2019-06-14,10.6390
2019-06-13,10.6968
2019-06-12,10.6800
2019-06-11,10.6828
2019-06-10,10.6455
2019-06-07,10.6562
2019-06-06,10.6175
2019-06-05,10.6255
2019-06-04,10.6260
2019-06-03,10.6180
2019-05-31,10.6390
2019-05-30,10.6323
2019-05-29,10.7063
2019-05-28,10.6865
2019-05-27,10.7148
2019-05-24,10.7098
2019-05-23,10.7373
2019-05-22,10.7600
2019-05-21,10.7743
2019-05-20,10.7668
2019-05-17,10.7660
2019-05-16,10.7590
2019-05-15,10.7688
2019-05-14,10.7790
2019-05-13,10.8323
2019-05-10,10.8108
2019-05-09,10.7973
2019-05-08,10.7494
2019-05-07,10.7145
2019-05-06,10.7258
2019-05-03,10.7043
2019-05-02,10.6850
2019-04-30,10.6350
2019-04-29,10.6113
2019-04-26,10.5738
2019-04-25,10.6295
2019-04-24,10.5010
2019-04-23,10.5070
2019-04-18,10.4760
2019-04-17,10.4408
2019-04-16,10.4638
2019-04-15,10.4608
2019-04-12,10.4788
2019-04-11,10.4370
2019-04-10,10.4400
2019-04-09,10.4250
2019-04-08,10.4325
2019-04-05,10.4260
2019-04-04,10.4075
2019-04-03,10.4300
2019-04-02,10.4418
2019-04-01,10.4200
2019-03-29,10.3980
2019-03-28,10.4760
2019-03-27,10.4298
2019-03-26,10.4263
2019-03-25,10.4450
2019-03-22,10.4723
2019-03-21,10.4288
2019-03-20,10.4310
2019-03-19,10.4485
2019-03-18,10.4643
2019-03-15,10.4964
2019-03-14,10.5373
2019-03-13,10.5540
2019-03-12,10.5715
2019-03-11,10.5802
2019-03-08,10.6316
2019-03-07,10.5625
2019-03-06,10.5375
2019-03-05,10.5523
2019-03-04,10.5543
2019-03-01,10.5003
2019-02-28,10.4844
2019-02-27,10.5443
2019-02-26,10.5858
2019-02-25,10.5793
2019-02-22,10.5998
2019-02-21,10.6188
2019-02-20,10.5703
2019-02-19,10.6000
2019-02-18,10.4685
2019-02-15,10.4813
2019-02-14,10.4775
2019-02-13,10.4083
2019-02-12,10.4725
2019-02-11,10.4858
2019-02-08,10.4973
2019-02-07,10.4730
2019-02-06,10.4258
2019-02-05,10.3998
2019-02-04,10.4113
2019-02-01,10.3878
2019-01-31,10.3730
2019-01-30,10.3843
2019-01-29,10.3508
2019-01-28,10.3503
2019-01-25,10.2980
2019-01-24,10.2843
2019-01-23,10.2450
2019-01-22,10.2538
2019-01-21,10.2515
2019-01-18,10.2515
2019-01-17,10.2858
2019-01-16,10.2488
2019-01-15,10.2403
2019-01-14,10.2493
2019-01-11,10.2338
2019-01-10,10.2303
2019-01-09,10.2268
2019-01-08,10.1855
2019-01-07,10.2235
2019-01-04,10.2460
2019-01-03,10.2808
2019-01-02,10.2145
2018-12-31,10.2548
2018-12-28,10.2773
2018-12-27,10.2725
2018-12-24,10.3428
2018-12-21,10.2733
2018-12-20,10.2530
2018-12-19,10.3393
2018-12-18,10.2760
2018-12-17,10.2725
2018-12-14,10.2610
2018-12-13,10.3020
2018-12-12,10.3595
2018-12-11,10.2970
2018-12-10,10.3330
2018-12-07,10.2665
2018-12-06,10.2355
2018-12-05,10.1753
2018-12-04,10.2293
2018-12-03,10.2355
2018-11-30,10.3195
2018-11-29,10.3170
2018-11-28,10.2544
2018-11-27,10.2823
2018-11-26,10.2930
2018-11-23,10.3043
2018-11-22,10.3035
2018-11-21,10.3143
2018-11-20,10.3133
2018-11-19,10.2815
2018-11-16,10.2620
2018-11-15,10.2553
2018-11-14,10.2685
2018-11-13,10.2284
2018-11-12,10.2705
2018-11-09,10.2648
2018-11-08,10.2528
2018-11-07,10.3313
2018-11-06,10.3470
2018-11-05,10.3268
2018-11-02,10.3123
2018-11-01,10.3158
2018-10-31,10.4015
2018-10-30,10.4200
2018-10-29,10.3910
2018-10-26,10.4025
2018-10-25,10.3930
2018-10-24,10.3590
2018-10-23,10.3606
2018-10-22,10.3310
2018-10-19,10.3358
2018-10-18,10.3330
2018-10-17,10.3148
2018-10-16,10.3165
2018-10-15,10.3920
2018-10-12,10.3593
2018-10-11,10.4120
2018-10-10,10.4800
2018-10-09,10.4445
2018-10-08,10.4463
2018-10-05,10.4438
2018-10-04,10.4015
2018-10-03,10.3795
2018-10-02,10.3815
2018-10-01,10.3300
2018-09-28,10.3090
2018-09-27,10.3208
2018-09-26,10.3763
2018-09-25,10.3515
2018-09-24,10.3563
2018-09-21,10.3315
2018-09-20,10.3350
2018-09-19,10.3878
2018-09-18,10.4179
2018-09-17,10.4527
2018-09-14,10.5460
2018-09-13,10.4460
2018-09-12,10.4740
2018-09-11,10.4850
2018-09-10,10.4683
2018-09-07,10.5163
2018-09-06,10.5908
2018-09-05,10.5408
2018-09-04,10.5645
2018-09-03,10.5806
2018-08-31,10.6205
2018-08-30,10.6440
2018-08-29,10.6923
2018-08-28,10.6633
2018-08-27,10.6095
2018-08-24,10.5843
2018-08-23,10.5183
2018-08-22,10.5075
2018-08-21,10.5118
2018-08-20,10.4918
2018-08-17,10.4935
2018-08-16,10.4663
2018-08-15,10.4033
2018-08-14,10.3718
2018-08-13,10.4093
2018-08-10,10.4258
2018-08-09,10.3875
2018-08-08,10.3878
2018-08-07,10.3245
2018-08-06,10.3040
2018-08-03,10.3193
2018-08-02,10.3003
2018-08-01,10.2995
2018-07-31,10.2570
2018-07-30,10.2503
2018-07-27,10.3010
2018-07-26,10.2738
2018-07-25,10.2925
2018-07-24,10.3278
2018-07-23,10.3488
2018-07-20,10.3908
2018-07-19,10.3565
2018-07-18,10.3120
2018-07-17,10.3003
2018-07-16,10.3333
2018-07-13,10.3760
2018-07-12,10.3350
2018-07-11,10.2745
2018-07-10,10.2438
2018-07-09,10.2548
2018-07-06,10.2910
2018-07-05,10.2363
2018-07-04,10.2510
2018-07-03,10.3123
2018-07-02,10.4490
2018-06-29,10.4530
2018-06-28,10.4191
2018-06-27,10.3503
2018-06-26,10.3383
2018-06-25,10.3623
2018-06-22,10.2950
2018-06-21,10.3248
2018-06-20,10.2755
2018-06-19,10.3227
2018-06-18,10.2223
2018-06-15,10.1713
2018-06-14,10.1600
2018-06-13,10.1360
2018-06-12,10.1550
2018-06-11,10.2530
2018-06-08,10.2870
2018-06-07,10.2515
2018-06-06,10.2760
2018-06-05,10.2498
2018-06-04,10.2583
2018-06-01,10.2943
2018-05-31,10.2683
2018-05-30,10.2783
2018-05-29,10.3173
2018-05-28,10.2373
2018-05-25,10.1922
2018-05-24,10.2518
2018-05-23,10.2906
2018-05-22,10.2158
2018-05-21,10.2555
2018-05-18,10.3073
2018-05-17,10.2950
2018-05-16,10.2903
2018-05-15,10.2928
2018-05-14,10.2958
2018-05-11,10.2635
2018-05-10,10.3150
2018-05-09,10.3473
2018-05-08,10.4760
2018-05-07,10.5383
2018-05-04,10.5715
2018-05-03,10.6045
2018-05-02,10.6174
2018-04-30,10.4993
2018-04-27,10.5178
2018-04-26,10.4478
2018-04-25,10.4220
2018-04-24,10.3775
2018-04-23,10.3763
2018-04-20,10.3703
2018-04-19,10.3778
2018-04-18,10.4033
2018-04-17,10.3913
2018-04-16,10.4045
2018-04-13,10.3798
2018-04-12,10.3723
2018-04-11,10.2863
2018-04-10,10.2855
2018-04-09,10.2960
2018-04-06,10.2983
2018-04-05,10.3140
2018-04-04,10.3175
2018-04-03,10.2968
2018-03-29,10.2843
2018-03-28,10.2800
2018-03-27,10.2156
2018-03-26,10.1868
2018-03-23,10.1943
2018-03-22,10.1200
2018-03-21,10.0883
2018-03-20,10.0563
2018-03-19,10.0838
2018-03-16,10.0795
2018-03-15,10.0943
2018-03-14,10.1255
2018-03-13,10.1568
2018-03-12,10.1563
2018-03-09,10.1648
2018-03-08,10.2173
2018-03-07,10.2383
2018-03-06,10.1835
2018-03-05,10.1683
2018-03-02,10.1643
